Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
3648 , 382.01766667651884 , 4.7746482927568605 , 1824 , 1.0 , 64 , 105
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 54 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_STAGE1_MIN, MODULE_STAGE1_MAX, MODULE_STAGE2_MIN, MODULE_STAGE2_MAX, NUM_PLANET_STAGE1_MIN, NUM_PLANET_STAGE1_MAX, NUM_PLANET_STAGE2_MIN, NUM_PLANET_STAGE2_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 3 , 7 , 14 , 14 , 8 , 15 , 1
 
iter, gearRatio, module1, module2, Ns1, Np1, Nr1, numPlanet1, Ns2, Np2, Nr2, numPlanet2, fwSun1MM, fwPlanet1MM, fwRing1MM, fwSun2MM, fwPlanet2MM, fwRing2MM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass_stg1, Outer_Bearing_mass_stg2, Actuator_width
115 , 8.02675585284281 , 0.5 , 0.7 , 52 , 28 , 108 , 4 , 46 , 14 , 74 , 5 , 6.55 , 8.0 , 8.0 , 10.025 , 10.025 , 10.025 , 1.573 , 0.895 , 38.325 , 3.3886367067815524 , 24.364272091544823 , 0.05 , 0.081 , 171.02483919189467
85 , 9.130434782608695 , 0.9 , 0.7 , 24 , 18 , 60 , 3 , 46 , 14 , 74 , 5 , 7.536 , 8.0 , 8.0 , 11.403 , 11.403 , 11.403 , 1.574 , 0.869 , 43.595 , 3.715817745872355 , 27.69695044472681 , 0.05 , 0.081 , 172.40325458078019
64 , 10.127877237851662 , 1.1 , 0.7 , 17 , 16 , 49 , 3 , 46 , 14 , 74 , 5 , 8.191 , 8.191 , 8.191 , 12.649 , 12.649 , 12.649 , 1.58 , 0.855 , 48.357 , 4.038334336646057 , 30.605696202531643 , 0.05 , 0.081 , 173.84005185294794
57 , 11.076923076923078 , 1.0 , 1.0 , 20 , 16 , 52 , 3 , 26 , 14 , 54 , 4 , 7.927 , 8.0 , 8.0 , 15.086 , 15.086 , 15.086 , 1.539 , 0.85 , 52.888 , 4.457298460296356 , 34.36517218973359 , 0.05 , 0.05 , 174.08637454406266
54 , 12.307692307692308 , 1.2 , 1.0 , 15 , 15 , 45 , 3 , 26 , 14 , 54 , 4 , 8.211 , 8.211 , 8.211 , 16.763 , 16.763 , 16.763 , 1.546 , 0.837 , 58.765 , 4.866470987116602 , 38.010996119016816 , 0.05 , 0.05 , 175.97383021190655
34 , 13.333333333333334 , 0.9 , 1.0 , 18 , 21 , 60 , 3 , 26 , 14 , 54 , 4 , 11.057 , 11.057 , 11.057 , 18.16 , 18.16 , 18.16 , 1.564 , 0.857 , 63.662 , 5.693488799171653 , 40.704603580562654 , 0.05 , 0.05 , 180.21689343996962
37 , 14.0625 , 1.2 , 1.2 , 16 , 14 , 44 , 3 , 16 , 14 , 44 , 3 , 7.568 , 8.0 , 8.0 , 28.38 , 28.38 , 28.38 , 1.584 , 0.821 , 67.143 , 7.218091826799652 , 42.38825757575757 , 0.05 , 0.05 , 187.37973715572286
42 , 15.0 , 1.2 , 1.2 , 15 , 15 , 45 , 3 , 16 , 14 , 44 , 3 , 8.211 , 8.211 , 8.211 , 30.272 , 30.272 , 30.272 , 1.592 , 0.823 , 71.62 , 7.643228317183065 , 44.98743718592965 , 0.05 , 0.05 , 189.48291146238577


Running Time (sec)
3285.3087124824524
