Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
6984 , 731.3627697557038 , 2.9533906965506356 , 2160 , 0.5 , 47 , 130.3
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 50.160000000000004 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_STAGE1_MIN, MODULE_STAGE1_MAX, MODULE_STAGE2_MIN, MODULE_STAGE2_MAX, NUM_PLANET_STAGE1_MIN, NUM_PLANET_STAGE1_MAX, NUM_PLANET_STAGE2_MIN, NUM_PLANET_STAGE2_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 3 , 7 , 14 , 14 , 3 , 15 , 1
 
iter, gearRatio, module1, module2, Ns1, Np1, Nr1, numPlanet1, Ns2, Np2, Nr2, numPlanet2, fwSun1MM, fwPlanet1MM, fwRing1MM, fwSun2MM, fwPlanet2MM, fwRing2MM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass_stg1, Outer_Bearing_mass_stg2, Actuator_width
4 , 5.961251862891207 , 0.5 , 0.5 , 61 , 14 , 89 , 3 , 66 , 14 , 94 , 4 , 4.74 , 8.0 , 8.0 , 7.991 , 8.0 , 8.0 , 1.001 , 0.878 , 17.606 , 2.444856835921723 , 17.588411588411592 , 0.05 , 0.05 , 192.3
20 , 6.9264069264069255 , 0.5 , 0.5 , 44 , 16 , 76 , 3 , 63 , 17 , 97 , 5 , 6.871 , 8.0 , 8.0 , 7.359 , 8.0 , 8.0 , 0.954 , 0.887 , 20.456 , 2.3799836400153507 , 21.442348008385746 , 0.031 , 0.05 , 192.3
67 , 7.423687423687423 , 0.5 , 0.5 , 39 , 18 , 75 , 3 , 63 , 17 , 97 , 5 , 7.906 , 8.0 , 8.0 , 7.888 , 8.0 , 8.0 , 0.952 , 0.89 , 21.925 , 2.371926773124417 , 23.03046218487395 , 0.031 , 0.05 , 192.3
78 , 8.047058823529413 , 0.5 , 0.8 , 40 , 17 , 74 , 3 , 34 , 14 , 62 , 4 , 7.693 , 8.0 , 8.0 , 8.046 , 8.046 , 8.046 , 0.948 , 0.872 , 23.766 , 2.4140131744893667 , 25.069620253164555 , 0.031 , 0.05 , 192.34586188509854
54 , 9.0 , 0.6 , 0.8 , 32 , 19 , 70 , 3 , 34 , 14 , 62 , 4 , 7.068 , 8.0 , 8.0 , 8.999 , 8.999 , 8.999 , 0.972 , 0.872 , 26.581 , 2.6273647728868417 , 27.346707818930042 , 0.038 , 0.05 , 193.29866131886018
36 , 10.058823529411764 , 0.6 , 0.8 , 32 , 25 , 82 , 3 , 34 , 14 , 62 , 4 , 6.922 , 8.0 , 8.0 , 10.057 , 10.057 , 10.057 , 0.998 , 0.88 , 29.708 , 2.848700393084329 , 29.76753507014028 , 0.038 , 0.05 , 194.35732735637316
34 , 11.048593350383632 , 0.7 , 0.8 , 23 , 22 , 67 , 3 , 34 , 14 , 62 , 4 , 8.04 , 8.04 , 8.04 , 11.047 , 11.047 , 11.047 , 0.995 , 0.87 , 32.631 , 3.0716055637765214 , 32.79497487437186 , 0.038 , 0.05 , 195.38645026570612
36 , 12.035190615835777 , 0.6 , 1.0 , 31 , 26 , 83 , 3 , 22 , 14 , 50 , 3 , 7.201 , 8.0 , 8.0 , 15.995 , 15.995 , 15.995 , 1.019 , 0.871 , 35.545 , 4.07640859836383 , 34.88223748773308 , 0.038 , 0.05 , 200.2954289379313
23 , 13.090909090909092 , 0.9 , 1.0 , 18 , 18 , 54 , 3 , 22 , 14 , 50 , 3 , 6.927 , 8.0 , 8.0 , 17.399 , 17.399 , 17.399 , 1.021 , 0.847 , 38.663 , 4.405554858267641 , 37.86777668952008 , 0.038 , 0.05 , 201.69853673950422
27 , 14.0625 , 0.7 , 1.1 , 24 , 21 , 66 , 3 , 16 , 14 , 44 , 3 , 7.61 , 8.0 , 8.0 , 20.891 , 20.891 , 20.891 , 0.999 , 0.85 , 41.532 , 5.0779086298875535 , 41.57357357357357 , 0.038 , 0.038 , 205.19127792668024
20 , 15.0 , 0.9 , 1.1 , 18 , 18 , 54 , 3 , 16 , 14 , 44 , 3 , 6.927 , 8.0 , 8.0 , 22.284 , 22.284 , 22.284 , 1.012 , 0.837 , 44.301 , 5.394040154853196 , 43.77569169960474 , 0.038 , 0.038 , 206.5840297884589


Running Time (sec)
2753.981613636017
